Reference,Component,Value,Footprint,Net1,Net2,Net3,Description
Q3,NPN_Transistor,MMBT2222A,SOT-23,C=K3_COIL,B=GPIO12_R,E=GND,K3 relay driver
Q5,NPN_Transistor,MMBT2222A,SOT-23,C=SSR1_NEG,B=GPIO13_R,E=GND,SSR1 low-side driver
Q6,NPN_Transistor,MMBT2222A,SOT-23,C=SSR2_NEG,B=GPIO14_R,E=GND,SSR2 low-side driver
D1,Diode,UF4007,DO-41,A=K1_COIL,K=+5V,,K1 flyback diode across coil (1A 1000V 75ns)
D2,Diode,UF4007,DO-41,A=K2_COIL,K=+5V,,K2 flyback diode across coil (1A 1000V 75ns)
D3,Diode,UF4007,DO-41,A=K3_COIL,K=+5V,,K3 flyback diode across coil (1A 1000V 75ns)
D10,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=GPIO2,,Water switch ESD
D11,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=GPIO3,,Tank level ESD
D12,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=GPIO4,,Steam level ESD
D13,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=GPIO5,,Brew switch ESD
D14,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=ADC0,,Brew NTC ESD
D15,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=ADC1,,Steam NTC ESD
D16,Schottky_Diode,BAT54S,SOT-23,A1=GPIO28,A2=GND,K=+3.3V,Pressure ADC2 overvoltage protection (fast Schottky clamp)
D_PRESSURE,TVS_Diode,PESD3V3S1BL,SOD-323,A=GND,K=GPIO28,,Pressure ADC2 hard clamp (3.3V TVS, low-leakage, parallel to D16 for redundant protection)
D20,TVS_Diode,SMBJ5.0A,SMB,A=GND,K=+5V,,5V rail protection
D21,TVS_Diode,SM712,SOT-23,1=RS485_A,2=GND,3=RS485_B,RS485 A/B line surge protection (-7V to +12V asymmetric)
D_UART_TX,TVS_Diode,ESDALC6V1,SOD-323,A=GND,K=J15_3,,UART TX ESD protection (near J15 connector)
D_UART_RX,TVS_Diode,ESDALC6V1,SOD-323,A=GND,K=J15_4,,UART RX ESD protection (near J15 connector)
LED1,LED,Green_0805,0805,A=LED1_A,K=K1_COIL,,K1 indicator (parallel with relay coil)
LED2,LED,Green_0805,0805,A=LED2_A,K=K2_COIL,,K2 indicator (parallel with relay coil)
LED3,LED,Green_0805,0805,A=LED3_A,K=K3_COIL,,K3 indicator (parallel with relay coil)
LED5,LED,Orange_0805,0805,A=LED5_A,K=GND,,SSR1 indicator
LED6,LED,Orange_0805,0805,A=LED6_A,K=GND,,SSR2 indicator
LED7,LED,Green_0805,0805,A=LED7_A,K=GND,,Status LED (Green)
R1,Resistor,3.3k_1%,0805,1=ADC_VREF,2=ADC0,,Brew NTC pull-up (50k NTC optimized for 93C)
R1A,Resistor,1.5k_1%,0805,1=ADC_VREF,2=ADC0,,Brew NTC parallel resistor (10kΩ NTC via JP1)
R2,Resistor,1.2k_1%,0805,1=ADC_VREF,2=ADC1,,Steam NTC pull-up (50k NTC optimized for 135C)
R2A,Resistor,680R_1%,0805,1=ADC_VREF,2=ADC1,,Steam NTC parallel resistor (10kΩ NTC via JP2)
R3,Resistor,10k_1%,0805,1=GPIO28,2=GND,,Pressure divider (to GND, ADC2)
R4,Resistor,5.6k_1%,0805,1=PRESS_SIG,2=GPIO28,,Pressure divider (series, ADC2) - prevents ADC saturation at 4.5V sensor output
R5,Resistor,1k_1%,0805,1=GPIO26,2=ADC0,,Brew NTC series protection (ADC0→GPIO26)
R6,Resistor,1k_1%,0805,1=GPIO27,2=ADC1,,Steam NTC series protection (ADC1→GPIO27)
R_HUM_BREW,Resistor,10k,0805,1=ADC0,2=GPIO26,,Mains hum filter resistor (Brew NTC, fc≈1.6kHz, 50/60Hz rejection)
R_HUM_STEAM,Resistor,10k,0805,1=ADC1,2=GPIO27,,Mains hum filter resistor (Steam NTC, fc≈1.6kHz, 50/60Hz rejection)
R7,Resistor,1k_1%,0805,1=3V3_ANALOG,2=LM4040_VREF,,LM4040 bias resistor (0.3mA via FB1)
R8,Resistor,47R_1%,0805,1=U9A_OUT,2=ADC_VREF,,ADC VREF buffer isolation (prevents oscillation with cap load)
R9,Resistor,33k_1%,0805,1=FB,2=+3.3V,,TPS563200 feedback upper (voltage divider)
R10,Resistor,10k_1%,0805,1=FB,2=GND,,TPS563200 feedback lower (sets 3.3V output)
R_VREG_AVDD,Resistor,33R,0805,1=+3.3V,2=VREG_AVDD_FILT,,VREG_AVDD RC filter (series resistor)
R_SRif,Resistor,1M,0805,1=J5,2=GND,,SRif DC blocking (parallel with C_SRif, prevents DC ground loops)
R_QSPI_CS,Resistor,10k,0805,1=+3.3V,2=QSPI_SS,,QSPI_SS pull-up (boot protection, prevents parasitic boot mode entry)
R_BOOTSEL,Resistor,1k,0805,1=QSPI_SS,2=BOOTSEL_NET,,BOOTSEL current limiting (protects QSPI_SS if button pressed during active flash access)
R11,Resistor,4.7k,0805,1=GPIO10,2=GND,,K1 relay driver pull-down (per RP2350 errata E9)
R12,Resistor,4.7k,0805,1=GPIO11,2=GND,,K2 relay driver pull-down (per RP2350 errata E9)
R13,Resistor,4.7k,0805,1=GPIO12,2=GND,,K3 relay driver pull-down (per RP2350 errata E9)
R14,Resistor,4.7k,0805,1=GPIO13,2=GND,,SSR1 driver pull-down (per RP2350 errata E9)
R15,Resistor,4.7k,0805,1=GPIO14,2=GND,,SSR2 driver pull-down (per RP2350 errata E9)
R16,Resistor,10k,0805,1=+3.3V,2=GPIO2,,Water reservoir switch pull-up
R17,Resistor,10k,0805,1=+3.3V,2=GPIO3,,Tank level sensor pull-up
R18,Resistor,10k,0805,1=+3.3V,2=GPIO5,,Brew handle switch pull-up
R19,Resistor,4.7k,0805,1=GPIO20,2=GND,,RS485 DE/RE pull-down (per RP2350 errata E9)
R20,Resistor,470R,0805,1=GPIO10,2=GPIO10_R,,Q1 base resistor
R21,Resistor,470R,0805,1=GPIO11,2=GPIO11_R,,Q2 base resistor
R22,Resistor,470R,0805,1=GPIO12,2=GPIO12_R,,Q3 base resistor
R24,Resistor,470R,0805,1=GPIO13,2=GPIO13_R,,Q5 base resistor
R25,Resistor,470R,0805,1=GPIO14,2=GPIO14_R,,Q6 base resistor
R30,Resistor,470R,0805,1=+5V,2=LED1_A,,LED1 current limit (6.4mA)
R31,Resistor,470R,0805,1=+5V,2=LED2_A,,LED2 current limit (6.4mA)
R32,Resistor,470R,0805,1=+5V,2=LED3_A,,LED3 current limit (6.4mA)
R34,Resistor,330R,0805,1=GPIO13,2=LED5_A,,SSR1 LED current limit (logic side)
R35,Resistor,330R,0805,1=GPIO14,2=LED6_A,,SSR2 LED current limit (logic side)
R40,Resistor,1k,0805,1=GPIO0,2=J15_3,,UART0 TX series (5V tolerance protection, limits fault current to <500µA)
R41,Resistor,1k,0805,1=GPIO1,2=J15_4,,UART0 RX series (5V tolerance protection, limits fault current to <500µA)
R44,Resistor,1k,0805,1=GPIO6,2=U8_DI,,PZEM/RS485 TX series (5V tolerance protection, to MAX3485 DI)
R45,Resistor,2.2k_1%,0805,1=J17_RX,2=J17_DIV,,J17 RX 5V→3.3V level shifter (upper divider)
R45A,Resistor,3.3k_1%,0805,1=J17_DIV,2=GND,,J17 RX 5V→3.3V level shifter (lower divider)
R45B,Resistor,33R,0805,1=J17_DIV,2=GPIO7,,J17 RX series protection (after divider)
R48,Resistor,330R,0805,1=GPIO15,2=LED7_A,,Status LED current limit
R49,Resistor,100R,0805,1=GPIO19,2=BZ1,,Buzzer series
R71,Resistor,10k,0805,1=+3.3V,2=RP2354_RUN,,RP2354 RUN pull-up
R72,Resistor,DNP,0805,,,,DNP - Not used
R73,Resistor,4.7k,0805,1=GND,2=GPIO21,,WEIGHT_STOP pull-down (per RP2350 errata E9)
R74,Resistor,DNP,0805,,,,DNP - No longer used (v2.31: GPIO16 no longer used for SWD)
R75,Resistor,DNP,0805,,,,DNP - No longer used (v2.31: GPIO22 no longer used for SWD)
R_SWDIO,Resistor,47R,0805,1=SWDIO,2=J15_6,,SWDIO series protection (J15 Pin 6)
R_SWCLK,Resistor,22R,0805,1=SWCLK,2=J15_8,,SWCLK series protection (J15 Pin 8, optimized for signal integrity)
R_SWD_PD,Resistor,DNP,0805,,,,DNP - Not needed (v2.31: SWD uses dedicated pins, no pull-down required)
R81,Resistor,10k_1%,0805,1=AC_OUT,2=OPA_NEG,,Level probe oscillator feedback
R82,Resistor,4.7k_1%,0805,1=OPA_NEG,2=GND,,Level probe gain setting (A_CL=3.13)
R83,Resistor,10k_1%,0805,1=OPA_POS,2=WIEN1,,Level probe Wien bridge
R84,Resistor,10k_1%,0805,1=OPA_POS,2=WIEN2,,Level probe Wien bridge
R85,Resistor,100R,0805,1=AC_OUT,2=PROBE,,Level probe current limit
R86,Resistor,10k,0805,1=AC_SENSE,2=COMP_POS,,Level probe AC bias
R87,Resistor,100k_1%,0805,1=+3.3V,2=VREF,,Level probe reference upper
R88,Resistor,100k_1%,0805,1=VREF,2=GND,,Level probe reference lower
R89,Resistor,1M,0805,1=GPIO4,2=COMP_POS,,Level probe hysteresis
R91,Resistor,10k_1%,0805,1=+5V,2=5V_DIV,,5V monitor upper (ratiometric compensation)
R92,Resistor,5.6k_1%,0805,1=5V_DIV,2=GND,,5V monitor lower (ratiometric compensation)
R93,Resistor,20k,0805,1=+3.3V,2=RS485_A,,RS485 failsafe bias pull-up on A line (bus idle state definition)
R94,Resistor,20k,0805,1=RS485_B,2=GND,,RS485 failsafe bias pull-down on B line (bus idle state definition)
C1,Capacitor,100nF_X2,Radial,1=L_FUSED,2=N_FUSED,,Mains EMI filter
C2,Capacitor,470uF_6.3V,105C_AlPolymer,1=+5V,2=GND,,5V bulk cap (105°C Aluminum Polymer, e.g., Panasonic OS-CON) - Required for >5 year life at 65°C ambient
C3,Capacitor,22uF_25V,1206,1=+5V,2=GND,,Buck input cap (ceramic X5R)
C4,Capacitor,22uF_10V,1206,1=+3.3V,2=GND,,Buck output cap (ceramic X5R)
C4A,Capacitor,22uF_10V,1206,1=+3.3V,2=GND,,Buck output cap 2 (ceramic X5R) - parallel
C5,Capacitor,47uF_10V,1206,1=+3.3V,2=GND,,3.3V rail bulk (WiFi/relay transients) - ceramic X5R
C_VREG_AVDD,Capacitor,100nF,0805,1=VREG_AVDD_FILT,2=GND,,VREG_AVDD RC filter (parallel to GND)
C_SRif,Capacitor,100nF_X2,0805,1=J5,2=GND,,SRif AC coupling (parallel with R_SRif, allows 1kHz AC signal return) - MUST be X2 safety rated (250V AC) for mains fault protection
C_DVDD,Capacitor,10uF_10V,1206,1=DVDD,2=GND,,RP2354 DVDD bulk (external LDO output)
C_DVDD2,Capacitor,100nF,0805,1=DVDD,2=GND,,RP2354 DVDD decoupling (external LDO output)
C_XTAL1,Capacitor,22pF,0603,1=XIN,2=GND,,Crystal load capacitor (calculated: C_L = 2×(15pF-3pF) = 24pF, use 22pF std)
C_XTAL2,Capacitor,22pF,0603,1=XOUT_CRYSTAL,2=GND,,Crystal load capacitor (calculated: C_L = 2×(15pF-3pF) = 24pF, use 22pF std) - connects to crystal pin after R_XTAL
R_XTAL,Resistor,1k,0805,1=XOUT,2=XOUT_CRYSTAL,,Crystal series resistor (recommended to prevent overdriving crystal, per Raspberry Pi recommendations) - in series between MCU XOUT pin and crystal
Y1,Crystal,12MHz,HC-49_SMD,1=XIN,2=XOUT_CRYSTAL,,12MHz crystal oscillator (recommended: Abracon ABM8-12.000MHZ-B2-T or equivalent characterized part)
C6,Capacitor,100nF,0805,1=+3.3V,2=GND,,3.3V digital decoupling
C7,Capacitor,22uF_10V,1206,1=ADC_VREF,2=GND,,ADC reference bulk cap
C7A,Capacitor,100nF,0805,1=ADC_VREF,2=GND,,ADC reference decoupling
C8,Capacitor,100nF,0805,1=ADC0,2=GND,,Brew NTC filter (DC blocking)
C9,Capacitor,100nF,0805,1=ADC1,2=GND,,Steam NTC filter (DC blocking)
C_HUM_BREW,Capacitor,10nF,0805,1=GPIO26,2=GND,,Mains hum filter capacitor (Brew NTC, fc≈1.6kHz, 50/60Hz rejection)
C_HUM_STEAM,Capacitor,10nF,0805,1=GPIO27,2=GND,,Mains hum filter capacitor (Steam NTC, fc≈1.6kHz, 50/60Hz rejection)
C11,Capacitor,100nF,0805,1=GPIO28,2=GND,,Pressure ADC2 filter
C13,Capacitor,100uF_10V,Radial,1=+5V,2=GND,,ESP32 bulk cap
C60,Capacitor,100nF,0805,1=+3.3V,2=GND,,OPA342 VCC decoupling
C61,Capacitor,10nF,0805,1=WIEN1,2=GND,,Level probe Wien bridge timing (~1.6kHz for probe longevity)
C62,Capacitor,10nF,0805,1=WIEN2,2=GND,,Level probe Wien bridge timing (~1.6kHz for probe longevity)
C63,Capacitor,100nF,0805,1=+3.3V,2=GND,,TLV3201 VCC decoupling
C64,Capacitor,1uF,0805,1=AC_OUT,2=AC_SENSE,,Level probe AC coupling
C65,Capacitor,100nF,0805,1=AC_SENSE,2=GND,,Level probe sense filter
C70,Capacitor,100nF,0805,1=+3.3V,2=GND,,MAX3485 VCC decoupling
C80,Capacitor,100nF,0805,1=+3.3V,2=GND,,OPA2342 (U9) VCC decoupling
C81,Capacitor,100nF,0805,1=5V_DIV,2=GND,,5V monitor filter
L1,Inductor,2.2uH_3A,1210,1=SW,2=+3.3V,,Buck inductor (TPS563200) - 2.2µH per TI datasheet for 3.3V output
L2,Inductor,REMOVED,NA,NA,NA,No longer needed (external LDO replaces internal SMPS)
F1,Fuse,10A_250VAC,SMD_Nano2,1=L,2=L_FUSED,,Main mains fuse 10A slow-blow (Littelfuse 463 Series 0463010.ER) - MUST be High Breaking Capacity
F2,Fuse,2A_250VAC,SMD_Nano2,1=L_FUSED,2=L_HLK,,HLK module secondary fuse 2A slow-blow (Littelfuse 463 Series 0463002.ER)
RV1,Varistor,275V,14mm,1=L_FUSED,2=N_FUSED,,Mains surge protection (S14K275)
RV2,Varistor,275V,10mm,1=J3_NO,2=N,,Pump arc suppression MOV across load (S10K275)
RV3,Varistor,275V,10mm,1=J4_NO,2=N,,Solenoid arc suppression MOV across load (S10K275)
SW1,Switch,Tactile_6x6mm,SMD,1=RP2354_RUN,2=GND,,Reset button (active-low via R71 pull-up)
SW2,Switch,Tactile_6x6mm,SMD,1=BOOTSEL_NET,2=GND,,BOOTSEL button (Bootloader Entry - hold during reset to enter USB boot mode)
BZ1,Buzzer,Passive_12mm,TH,1=BZ1_POS,2=GND,,Passive piezo buzzer
FB1,Ferrite_Bead,600R_100MHz,0603,1=+3.3V,2=3V3_ANALOG,,ADC reference section isolation (feeds R7→LM4040→U9A→ADC_VREF)
JP1,Solder_Jumper,Open,2-pad,1=ADC_VREF,2=R1A,,Brew NTC selection (OPEN=50kΩ ECM/Profitec, CLOSE=10kΩ Rocket/Gaggia)
JP2,Solder_Jumper,Open,2-pad,1=ADC_VREF,2=R2A,,Steam NTC selection (OPEN=50kΩ ECM/Profitec, CLOSE=10kΩ Rocket/Gaggia)
JP3,Solder_Jumper,Open,2-pad,1=J17_RX,2=J17_DIV,,Power meter RX level (OPEN=5V TTL meters, CLOSE=3.3V logic meters)
JP4,Solder_Jumper,Center+A,3-pad,1=U8_RO,2=GPIO7,3=J17_DIV,,Power meter interface select (1-2=RS485 differential, 2-3=TTL UART)
J1,Connector,Terminal_2pos,6.3mm_Spade,1=L,2=N,Mains input (L, N only - PE removed, HV section floating)
J2,Connector,Terminal_2pos,6.3mm_Spade,1=J2_COM,2=J2_NO,,K1 output (Mains indicator lamp)
J3,Connector,Terminal_2pos,6.3mm_Spade,1=J3_COM,2=J3_NO,,K2 output (Pump)
J4,Connector,Terminal_2pos,6.3mm_Spade,1=J4_COM,2=J4_NO,,K3 output (Solenoid)
J5,Connector,Terminal_1pos,6.3mm_Spade,1=J5,Chassis Reference (SRif) - connects to PCB GND via C-R network (R_SRif + C_SRif parallel)
J15,Connector,JST-XH_8pos,2.54mm,1=+5V,2=GND,3=RP2354_TX,4=RP2354_RX,5=J15_RUN,6=SWDIO,7=WEIGHT_STOP,8=SWCLK,ESP32 display (v2.31: SWD on dedicated pins 6/8, not GPIO16/22) - Pin 5 via R_RUN_EXT to prevent short-circuit with SW1
R_RUN_EXT,Resistor,1k,0805,1=J15_5,2=RP2354_RUN,,Series resistor for external reset (prevents short-circuit when SW1 pressed while ESP32 drives HIGH, limits current to ~3.3mA)
J17,Connector,JST-XH_6pos,2.54mm,1=+3.3V,2=+5V,3=GND,4=J17_RX,5=J17_TX,6=RS485_DERE,Power meter interface (TTL/RS485) - 6-pin per v2.21 spec
J20,Connector,Header_2x20,2.54mm,,,,"Pico socket"
J24,Connector,Screw_2pos,5.08mm,1=L_FUSED,2=N,External power meter HV input (L/N only - PE removed, HV section floating)
J26,Connector,Screw_18pos,5.08mm,1=GPIO2,2=GND,3=GPIO3,4=GND,5=PROBE,6=GPIO5,7=GND,8=ADC0,9=GND,10=ADC1,11=GND,12=+5V,13=GND,14=PRESS_SIG,15=+5V,16=SSR1_NEG,17=+5V,18=SSR2_NEG,Unified LV terminal 18-pos (switches + NTCs + pressure + SSRs)
J_USB,Connector,USB-C_2.0,USB-C,1=VBUS,2=USB_DP_CONN,3=USB_DM_CONN,4=GND,5=CC1,6=CC2,RP2354 USB-C programming/debug port (VBUS→VSYS via F_USB/D_VBUS, D+/D- to RP2354 USB pins via R_USB_DP/DM)
R_CC1,Resistor,5.1k_1%,0603,1=CC1,2=GND,,USB-C CC1 pull-down (5.1kΩ for 5V power delivery)
R_CC2,Resistor,5.1k_1%,0603,1=CC2,2=GND,,USB-C CC2 pull-down (5.1kΩ for 5V power delivery)
F_USB,Fuse,PTC_1A,1206,1=VBUS,2=VBUS_FILT,,VBUS overcurrent protection (PTC fuse, protects against USB power faults, replaces undersized R_VBUS)
D_VBUS,Schottky_Diode,SS14,SMA,A=VBUS_FILT,K=VSYS,,VBUS to VSYS isolation diode (1A rating required for ESP32 load ~355mA typical/910mA peak, prevents backfeeding HLK module when USB connected)
R_USB_DP,Resistor,27R_1%,0603,1=USB_DP_CONN,2=USB_DP_MCU,,USB D+ series termination (27Ω required for RP2354 USB impedance matching, place close to MCU pin before ESD diode)
R_USB_DM,Resistor,27R_1%,0603,1=USB_DM_CONN,2=USB_DM_MCU,,USB D- series termination (27Ω required for RP2354 USB impedance matching, place close to MCU pin before ESD diode)
D_USB_DP,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=USB_DP_CONN,,USB D+ ESD protection (Place close to USB Connector J_USB - shunts ESD spikes at entry point before they enter board)
D_USB_DM,ESD_Diode,PESD5V0S1BL,SOD-323,A=GND,K=USB_DM_CONN,,USB D- ESD protection (Place close to USB Connector J_USB - shunts ESD spikes at entry point before they enter board)
TP1,Test_Point,GPIO20_Spare,1.5mm,1=GPIO20,,,GPIO20/RS485_DE test point
TP2,Test_Point,ADC_VREF,1.5mm,1=ADC_VREF,,,ADC reference test point (3.0V buffered)
TP3,Test_Point,5V_MONITOR,1.5mm,1=5V_DIV,,,5V monitor test point (~1.8V at 5V nominal) - for ratiometric calibration
MH1,Mounting_Hole,M3,3.2mm,1=NC,,,NPTH - Isolated (no PE connection, SRif architecture)
MH2,Mounting_Hole,M3,3.2mm,1=NC,,,NPTH - Isolated (no GND connection)
MH3,Mounting_Hole,M3,3.2mm,1=NC,,,NPTH - Isolated (no GND connection)
MH4,Mounting_Hole,M3,3.2mm,1=NC,,,NPTH - Isolated (no GND connection)
